City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
482,kabalo,-6.05,26.9167,35.15,35,65,2.01,CD,2023-11-01 09:46:48
483,tanout,14.9709,8.8879,32.05,12,90,8.26,NE,2023-11-01 09:46:48
484,mariental,-24.6333,17.9667,30.71,23,0,5.45,NA,2023-11-01 09:46:48
485,merizo village,13.2658,144.6691,28.85,88,52,6.37,GU,2023-11-01 09:46:48
486,igarka,67.4667,86.5833,-16.57,93,99,3.72,RU,2023-11-01 09:46:49
487,marbletown,41.8834,-74.1132,4.25,74,100,1.44,US,2023-11-01 09:46:49
488,biga,40.2281,27.2422,25.05,41,91,1.01,TR,2023-11-01 09:45:49
489,havre,49.5833,0.3333,11.3,93,100,5.66,FR,2023-11-01 09:46:49
490,sao tome,0.3365,6.7273,30.02,70,75,6.17,ST,2023-11-01 09:46:50
491,quepos,9.4236,-84.1652,24.65,90,100,1.28,CR,2023-11-01 09:46:50
492,cidade velha,14.9167,-23.6167,27.26,78,75,7.72,CV,2023-11-01 09:46:50
493,ulsteinvik,62.3432,5.8487,4.06,57,16,1.34,NO,2023-11-01 09:44:23
494,rehnan,32.6846,51.6013,20.73,26,48,3.4,IR,2023-11-01 09:46:51
495,ebon,4.582,168.6964,28.22,71,25,1.13,MH,2023-11-01 09:46:51
496,ribeira brava,32.65,-17.0667,22.62,79,0,0.65,PT,2023-11-01 09:46:51
497,sydney mines,46.2367,-60.2177,2.72,93,40,1.03,CA,2023-11-01 09:46:51
498,luena,-11.7833,19.9167,26.1,51,96,3.25,AO,2023-11-01 09:46:51
499,uliastay,47.7417,96.8444,1.33,70,100,4.89,MN,2023-11-01 09:46:52
500,kattivakkam,13.2167,80.3167,29.05,84,100,4.48,IN,2023-11-01 09:46:52
501,kankan,10.3854,-9.3057,27.31,65,95,1.35,GN,2023-11-01 09:46:52
502,santana,-0.0583,-51.1817,27.1,83,40,1.54,BR,2023-11-01 09:42:06
503,madingou,-4.1536,13.55,29.1,68,99,0.73,CG,2023-11-01 09:46:53
504,adam,22.3756,57.5233,33.7,17,28,4.29,OM,2023-11-01 09:46:53
505,teknaf,20.8624,92.3058,28.84,75,76,3.99,BD,2023-11-01 09:46:53
506,rantauprapat,2.1,99.8333,28.98,80,80,0.76,ID,2023-11-01 09:46:53
507,revda,56.801,59.9303,-0.16,81,100,3.6,RU,2023-11-01 09:46:53
508,saint-francois,46.4154,3.9054,13.69,73,0,5.66,FR,2023-11-01 09:46:54
509,fada,9.5667,8.3,30.66,29,87,2.28,NG,2023-11-01 09:46:54
510,alta,69.9689,23.2717,-0.41,82,75,1.54,NO,2023-11-01 09:46:54
511,kuala tungkal,-0.8167,103.4667,29.35,66,75,2.72,ID,2023-11-01 09:46:54
512,dongola,19.1667,30.4833,35.6,16,9,4.46,SD,2023-11-01 09:46:55
513,mazagao,-0.115,-51.2894,27.03,93,50,1.89,BR,2023-11-01 09:46:55
514,murun-kuren,49.6342,100.1625,2.82,53,99,6.28,MN,2023-11-01 09:46:55
515,yanbu,24.0891,38.0637,35.02,36,20,3.09,SA,2023-11-01 09:40:53
516,al kharijah,25.4514,30.5464,31.19,32,0,4.97,EG,2023-11-01 09:46:55
517,palangkaraya,-2.2,113.8333,31.22,52,83,2.38,ID,2023-11-01 09:46:56
518,sao felix do xingu,-6.6447,-51.995,24.45,45,2,0.2,BR,2023-11-01 09:46:56
519,kemijarvi,66.7131,27.4306,-4.28,96,99,3.07,FI,2023-11-01 09:46:56
520,titao,13.7667,-2.0667,34.46,9,90,4.13,BF,2023-11-01 09:46:56
521,shahrak,34.1074,64.3052,16.06,20,41,2.21,AF,2023-11-01 09:46:57
522,ola,59.5833,151.2833,0.08,84,100,8.36,RU,2023-11-01 09:46:57
